utc_time,pst_time,unix_time,temp,temp_flg,cond,cond_flg,sal,sal_flg,fluor,fluor_flg,otemp,otemp_flg,do2,do2_flg,ba,ba_flg,trans,trans_flg,osat,osat_flg,tide,ph,ph_flg,phrawv
2011-07-05T19:39:25Z,2011-07-05 11:39:25,1309894765,14.8021483054436,1,0.94367916306437,1,32.9687736042013,1,1.62960879120879,1,14.21,1,285.96,1,0.453992890794772,1,93.6841396849685,1,109.52,4,3.25,NaN,9,NaN
2011-07-05T19:44:25Z,2011-07-05 11:44:25,1309895065,14.7851784566645,1,0.94336104818092,1,32.9707450523695,1,1.52997509157509,1,14.18,1,282.07,1,0.454799810979498,1,94.443154119905,1,107.95,4,3.35,NaN,9,NaN
2011-07-05T19:49:25Z,2011-07-05 11:49:25,1309895365,14.7558582986716,1,0.942724805926319,1,32.9707713538946,1,1.52997509157509,1,13.86,1,256.04,1,0.455200842433778,1,94.8226613373733,1,97.35,1,3.45,NaN,9,NaN
2011-07-05T19:54:25Z,2011-07-05 11:54:25,1309895665,14.5371565490354,1,0.938638319146811,1,32.99665799522,1,1.49676385836386,1,13.87,1,259.41,1,0.455334162988087,1,94.9491637431961,1,98.66,1,3.54,NaN,9,NaN
2011-07-05T19:59:25Z,2011-07-05 11:59:25,1309895965,14.3884327424683,1,0.93538380022844,1,32.9955297588668,1,1.49676385836386,1,13.79,1,255.81,1,0.45528085609371,1,94.898562780867,1,97.13,1,3.64,NaN,9,NaN
2011-07-05T20:04:25Z,2011-07-05 12:04:25,1309896265,14.2867980343437,1,0.93354862520658,1,33.0100136989226,1,1.44694700854701,1,13.64,1,243.05,1,0.455547106856717,1,95.1515675925125,1,92,1,3.64,NaN,9,NaN
2011-07-05T20:09:25Z,2011-07-05 12:09:25,1309896565,14.2852453399901,1,0.933499683949597,1,33.0094105026764,1,1.66282002442002,1,13.57,1,236.37,1,0.455360805782967,1,94.9744642243606,1,89.34,1,3.73,NaN,9,NaN
2011-07-05T20:14:25Z,2011-07-05 12:14:25,1309896865,14.0737922560543,1,0.929193132787232,1,33.0201950724605,1,1.76245372405372,1,13.42,1,247.24,1,0.455334162988087,1,94.9491637431961,1,93.16,1,3.81,NaN,9,NaN
2011-07-05T20:19:25Z,2011-07-05 12:19:25,1309897165,14.0138286923709,1,0.92794522719868,1,33.0221637706501,1,1.71263687423687,1,13.35,1,233.33,1,0.455360805782967,1,94.9744642243606,1,87.8,1,3.89,NaN,9,NaN
2011-07-05T20:24:25Z,2011-07-05 12:24:25,1309897465,13.8750356710257,1,0.925082421824967,1,33.027675277216,1,1.54658070818071,1,13.42,1,254.39,1,0.455759598237809,1,95.3539714418289,1,95.86,1,3.97,NaN,9,NaN
2011-07-05T20:29:25Z,2011-07-05 12:29:25,1309897765,13.863328380461,1,0.924813267529581,1,33.0270341975079,1,1.59639755799756,1,13.58,1,256.7,1,0.455812650607045,1,95.404572404158,1,97.05,1,4.05,NaN,9,NaN
2011-07-05T20:34:25Z,2011-07-05 12:34:25,1309898065,14.0146077340903,1,0.927773919559341,1,33.0146967149819,1,1.51336947496947,1,13.55,1,241.62,1,0.455945158523904,1,95.5310748099807,1,91.29,1,4.05,NaN,9,NaN
2011-07-05T20:39:25Z,2011-07-05 12:39:25,1309898365,14.1274869005752,1,0.930098450732502,1,33.0100214808008,1,1.48015824175824,1,13.42,1,228.61,1,0.456051038582289,1,95.632276734639,1,86.14,1,4.12,NaN,9,NaN
2011-07-05T20:44:25Z,2011-07-05 12:44:25,1309898665,13.981881310273,1,0.927284575457185,1,33.0233728010324,1,1.49676385836386,1,13.29,1,222.06,1,0.455865674845667,1,95.4551733664871,1,83.46,1,4.18,NaN,9,NaN
